Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Payment Method Variant,Modification Merchant Reference,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Merchant Order Reference,Store
CrewClothing,CrewClothingPOS,KR92HMR4NQ683VB2,220A0126785,visa,2023-08-17 13:03:24,BST,ChargebackReversed,CGDJ95M6G6RTJ482,USD,,95.52,0.8006700167504188,GBP,,76.22,,0.11,0.00,0.15,visastandarddebit,<auto>,577,,,,,,,,,220
CrewClothing,CrewClothingPOS,VK843P6CNRLZ2C32,2023-09-12 09:16:58,visa,2023-09-12 09:18:03,BST,Settled,XSZMWSRZG6RTJ482,GBP,,24.00,1.0,GBP,,23.71,,0.04,0.20,0.05,visapremiumdebit,<auto>,577,,,,,,,,,151
CrewClothing,CrewClothingPOS,GBFK9CMDKHCQ4932,221A0149583,visa,2023-09-12 09:27:26,BST,Settled,HH9S652NDT3TLKH2,GBP,,97.60,1.0,GBP,,97.22,,0.16,0.02,0.20,visastandarddebit,<auto>,577,,,,,,,,,221
CrewClothing,CrewClothingPOS,L4BBMLSKC6Z2CH52,171A0116504,visa,2023-09-12 09:31:26,BST,Refunded,M3BRCKM3GZ8TJ482,GBP,48.75,,1.0,GBP,48.75,,0.00,,,,visapremiumdebit,171A0116504,577,,,,,,,,,171
CrewClothing,CrewClothingPOS,V3JNNB5ZB5JNXPB2,162A0128862,visa,2023-09-12 09:34:53,BST,Settled,Q69J59NBGVWXVT32,GBP,,46.00,1.0,GBP,,45.82,,0.07,0.02,0.09,visastandarddebit,<auto>,577,,,,,,,,,162
CrewClothing,CrewClothingPOS,WHVDNX8JMNVCHK52,196A0120893,mc,2023-09-12 09:34:54,BST,Settled,KS8DRPF7JWDMM6G2,GBP,,90.00,1.0,GBP,,89.55,,0.14,0.04,0.27,mcsuperpremiumcredit,<auto>,577,,,,,,,,,196
CrewClothing,CrewClothingPOS,B8S3TQ8QGR5SC2C2,634A0001265,mc,2023-09-12 09:37:16,BST,Settled,LDN2RZR9H8TJGHH2,GBP,,17.70,1.0,GBP,,17.62,,0.03,0.01,0.04,mcstandarddebit,<auto>,577,,,,,,,,,634
CrewClothing,CrewClothingPOS,PLV674NW6NG4KH52,108A0110502,mc,2023-09-12 09:42:47,BST,Settled,STXK8KPJ8KPJDXG2,GBP,,32.00,1.0,GBP,,31.83,,0.05,0.02,0.10,mcsuperpremiumcredit,<auto>,577,,,,,,,,,108
CrewClothing,CrewClothingPOS,P8C9ZBLHN2KJFXB2,2023-09-12 09:41:19,visa,2023-09-12 09:43:00,BST,Settled,HHVLTL8XV3RRDKH2,GBP,,44.00,1.0,GBP,,43.78,,0.07,0.02,0.13,visapremiumcredit,<auto>,577,,,,,,,,,163
CrewClothing,CrewClothingPOS,R3HCZVM647WZ8C32,225A0136516,visa,2023-09-12 09:43:03,BST,Settled,LJ6B2RM3GZ8TJ482,GBP,,14.00,1.0,GBP,,13.94,,0.02,0.01,0.03,visastandarddebit,<auto>,577,,,,,,,,,225
CrewClothing,CrewClothingPOS,QZGBTQ3LJ5ZTM232,626A0124400,visa,2023-09-12 09:44:14,BST,Settled,BB34JZ8SFC8X3SG2,GBP,,18.00,1.0,GBP,,17.92,,0.03,0.01,0.04,visastandarddebit,<auto>,577,,,,,,,,,626
CrewClothing,CrewClothingPOS,C5X7X644VG6NWPG2,167A0123543,visa,2023-09-12 09:44:16,BST,Settled,VXKJJZ8SFC8X3SG2,GBP,,18.00,1.0,GBP,,17.92,,0.03,0.01,0.04,visastandarddebit,<auto>,577,,,,,,,,,167
CrewClothing,CrewClothingPOS,T5L25N5PB3GZ2C32,131A0119092,mc,2023-09-12 09:44:51,BST,Settled,LFTVG5S9H8TJGHH2,GBP,,27.00,1.0,GBP,,26.86,,0.04,0.02,0.08,mcpremiumcredit,<auto>,577,,,,,,,,,131
