Store Number,Date,NR1,NR2,NR3,NR4,EAN,Units,Sales Price,NR5
1,20221016,1245,1,18168,619,5059595395935,1,27.00,27.00
1,20221016,1307,4,24404,626,5059595386155,1,42.00,42.00
2,20221016,1121,8,62335,118,5059595278061,1,19.00,17.10
2,20221016,1125,16,1588,210,5059595277088,1,22.50,20.25
2,20221016,1125,16,1588,210,5054409268191,1,12.00,10.80
2,20221016,1337,5,40899,176,5059595386995,1,42.00,42.00
2,20221016,1457,9,23430,196,5059595309796,1,15.00,13.50
2,20221016,1636,4,45737,91,5059595277217,1,29.00,23.49
2,20221016,1636,4,45737,91,5059595277156,1,29.00,26.10
2,20221016,1636,4,45737,91,5059595379416,1,16.50,14.85
2,20221016,1636,4,45737,91,5059595278115,1,19.00,17.10
2,20221016,1636,4,45737,91,5059595277149,1,22.50,20.25
2,20221016,1636,4,45737,91,5059595277125,1,22.50,20.25
2,20221016,1636,4,45737,91,100,1,20.10,18.09
3,20221016,1302,5,94566,533,5059595383963,1,28.50,28.50
3,20221016,1433,9,33430,964,5059595378921,1,33.50,30.15
3,20221016,1444,5,94615,533,5054409928170,1,22.50,20.25
4,20221016,1156,10,31230,116,5059595383918,1,28.50,28.50
5,20221016,1438,8,34678,115,5054409014156,1,18.00,16.20
