Date,Site Hierarchy,Distribution Channel,EAN,UPC,Article Variant,Full / Reduced Price,Sales (Units),Sales Revenue Inc Vat
7/29/2023,TONBRIDGE SF (2001),SHOP YOUR WAY,5059595853824,24001311,000000022565238005,Full Price,1.00,22.00
7/29/2023,TONBRIDGE SF (2001),SHOP YOUR WAY,5059595853831,24001328,000000022565238006,Full Price,1.00,22.00
7/29/2023,E-Commerce (4501),DIRECT,5054409045600,24105972,000000022559992001,Full Price,1.00,79.00
7/29/2023,E-Commerce (4501),DIRECT,5054409404315,24625647,000000022560108006,Full Price,1.00,55.00
7/29/2023,E-Commerce (4501),DIRECT,5054409446407,24617475,000000022560037007,Full Price,1.00,55.00
7/29/2023,E-Commerce (4501),DIRECT,5054409489206,24615259,000000022560218004,Full Price,1.00,60.00
7/29/2023,E-Commerce (4501),DIRECT,5054409489732,24623254,000000022560091003,Full Price,1.00,59.00
7/29/2023,E-Commerce (4501),DIRECT,5054409490868,24625968,000000022560298003,Full Price,3.00,145.00
7/29/2023,E-Commerce (4501),DIRECT,5054409491117,24625272,000000022560256003,Full Price,2.00,90.00
7/29/2023,E-Commerce (4501),DIRECT,5054409525621,24621540,000000022560107005,Full Price,1.00,29.00
7/29/2023,E-Commerce (4501),DIRECT,5054409525676,24622493,000000022560207002,Full Price,-1.00,-29.00
7/29/2023,E-Commerce (4501),DIRECT,5054409623433,24551274,000000022560056005,Full Price,1.00,65.00
7/29/2023,E-Commerce (4501),DIRECT,5054409668090,24605502,000000022559863005,Reduced,1.00,33.00
7/29/2023,E-Commerce (4501),DIRECT,5054409816156,24605878,000000022560043003,Full Price,1.00,65.00
7/29/2023,E-Commerce (4501),DIRECT,5054409930463,24623148,000000022560287005,Full Price,3.00,120.00
7/29/2023,E-Commerce (4501),DIRECT,5054409930722,24627832,000000022560286005,Full Price,1.00,40.00
7/29/2023,E-Commerce (4501),DIRECT,5054409930838,24628655,000000022560289004,Full Price,0.00,0.00
7/29/2023,E-Commerce (4501),DIRECT,5054409930869,24628662,000000022560289005,Full Price,1.00,40.00
7/29/2023,E-Commerce (4501),DIRECT,5054409946990,24618465,000000022559968003,Reduced,2.00,42.00
7/29/2023,E-Commerce (4501),DIRECT,5054409947003,24618397,000000022559968002,Reduced,1.00,21.00
7/29/2023,E-Commerce (4501),DIRECT,5059595066323,24617901,000000022560006004,Reduced,-1.00,-21.00
7/29/2023,E-Commerce (4501),DIRECT,5059595086390,24614061,000000022560031006,Full Price,1.00,55.00
7/29/2023,E-Commerce (4501),DIRECT,5059595111849,24629270,000000022560328003,Full Price,1.00,22.00
7/29/2023,E-Commerce (4501),DIRECT,5059595130352,24631181,000000022560276005,Full Price,1.00,22.00
7/29/2023,E-Commerce (4501),DIRECT,5059595136927,24103756,000000022560036002,Full Price,1.00,49.00
7/29/2023,E-Commerce (4501),DIRECT,5059595184607,24620581,000000022561083003,Full Price,1.00,22.00
7/29/2023,E-Commerce (4501),DIRECT,5059595184614,24620604,000000022561083004,Full Price,2.00,44.00
7/29/2023,E-Commerce (4501),DIRECT,5059595184638,24620642,000000022561083006,Full Price,-1.00,-22.00
7/29/2023,E-Commerce (4501),DIRECT,5059595184652,24620659,000000022561083007,Full Price,1.00,22.00
7/29/2023,E-Commerce (4501),DIRECT,5059595184676,24621458,000000022560104003,Full Price,1.00,25.00
7/29/2023,E-Commerce (4501),DIRECT,5059595200192,24622387,000000022560119005,Full Price,1.00,49.00
7/29/2023,E-Commerce (4501),DIRECT,5059595223627,24613965,000000022559990002,Full Price,1.00,32.00
7/29/2023,E-Commerce (4501),DIRECT,5059595454403,24627948,000000022560231003,Reduced,0.00,0.00
7/29/2023,E-Commerce (4501),DIRECT,5059595456131,24145992,000000022561518012,Full Price,-1.00,-47.50
7/29/2023,E-Commerce (4501),DIRECT,5059595456261,24145251,000000022561516011,Full Price,-1.00,-47.50
7/29/2023,E-Commerce (4501),DIRECT,5059595479017,7002953,000000022566996004,Full Price,-1.00,-45.00
7/29/2023,E-Commerce (4501),DIRECT,5059595578468,24621687,000000022560307005,Full Price,1.00,55.00
7/29/2023,E-Commerce (4501),DIRECT,5059595669333,24623711,000000022560088005,Reduced,1.00,38.00
7/29/2023,E-Commerce (4501),DIRECT,5059595690597,24145763,000000022561517011,Full Price,2.00,95.00
7/29/2023,E-Commerce (4501),DIRECT,5059595737155,24612371,000000022560245001,Reduced,-1.00,-40.00
7/29/2023,E-Commerce (4501),DIRECT,5059595743613,24626972,000000022560105002,Reduced,1.00,36.00
7/29/2023,E-Commerce (4501),DIRECT,5059595744139,24384476,000000022562886005,Full Price,1.00,22.00
7/29/2023,E-Commerce (4501),DIRECT,5059595744344,24384889,000000022562889004,Full Price,1.00,22.00
7/29/2023,E-Commerce (4501),DIRECT,5059595744757,23885547,000000022563971003,Reduced,1.00,14.00
7/29/2023,E-Commerce (4501),DIRECT,5059595744764,23885530,000000022563971002,Reduced,-1.00,-14.00
7/29/2023,E-Commerce (4501),DIRECT,5059595752660,24625357,000000022560144004,Reduced,1.00,30.00
7/29/2023,E-Commerce (4501),DIRECT,5059595753001,24621328,000000022560309004,Full Price,1.00,69.00
7/29/2023,E-Commerce (4501),DIRECT,5059595753780,24386371,000000022562806003,Reduced,1.00,35.00
7/29/2023,E-Commerce (4501),DIRECT,5059595753919,20452308,000000022562678004,Full Price,1.00,69.00
7/29/2023,E-Commerce (4501),DIRECT,5059595755340,3451472,000000022562004004,Reduced,1.00,38.00
7/29/2023,E-Commerce (4501),DIRECT,5059595755364,3453926,000000022562004006,Reduced,1.00,38.00
7/29/2023,E-Commerce (4501),DIRECT,5059595755371,3455654,000000022562004007,Reduced,1.00,38.00
7/29/2023,E-Commerce (4501),DIRECT,5059595755937,24625807,000000022560221003,Full Price,1.00,45.00
7/29/2023,E-Commerce (4501),DIRECT,5059595758464,24624893,000000022560258003,Reduced,-2.00,-66.00
7/29/2023,E-Commerce (4501),DIRECT,5059595758488,24624947,000000022560258005,Reduced,1.00,33.00
7/29/2023,E-Commerce (4501),DIRECT,5059595758488,24624947,000000022560258005,Reduced,-1.00,-33.00
7/29/2023,E-Commerce (4501),DIRECT,5059595758556,24623612,000000022560259003,Reduced,1.00,30.00
7/29/2023,E-Commerce (4501),DIRECT,5059595759195,24613477,000000022559993005,Reduced,1.00,94.00
7/29/2023,E-Commerce (4501),DIRECT,5059595759287,24386159,000000022562738005,Full Price,-1.00,-79.00
7/29/2023,E-Commerce (4501),DIRECT,5059595761242,24602471,000000022559855003,Reduced,2.00,116.00
7/29/2023,E-Commerce (4501),DIRECT,5059595762874,24618519,000000022560064004,Reduced,1.00,46.00
7/29/2023,E-Commerce (4501),DIRECT,5059595762898,24618618,000000022560064006,Reduced,1.00,46.00
7/29/2023,E-Commerce (4501),DIRECT,5059595763062,24381888,000000022562729003,Full Price,1.00,55.00
7/29/2023,E-Commerce (4501),DIRECT,5059595763093,24382137,000000022562729005,Full Price,1.00,55.00
7/29/2023,E-Commerce (4501),DIRECT,5059595765424,24386722,000000022562727006,Full Price,1.00,49.00
7/29/2023,E-Commerce (4501),DIRECT,5059595765714,24605724,000000022560824002,Reduced,1.00,40.00
