Source,SupplierCode,BIS_Ref_ID,ItemOptionNumber,ProductStyle,OptionDescription,ItemDescription,SubGroup,SubgroupDescription,EAN,PolledDate,TransDate,CountryCode,OriginalSellingPrice,SaleUnits,SaleValue,ReturnUnits,ReturnValue,FullPriceInd,SalesSourceDescription,ModelType,VATRate,VAT,VATExclusive,CommissionRate,Commission,BrandName,OrderReferenceNumber
RET,A95230,184153670001,88319817,WSC041_GREENWHT,16,CR GRN CREW CLOTHING,4F02,WOMENS CLOTHING,5059595866435,2023-07-31,2023-07-31,GB,59.00,0,0.00,-1,-29.00,MD,60 EDINBURGH FORT,Concession,20.00,-4.83,-24.17,37.00,-8.94,Crew Clothing Company,
ONL,A95230,276663235,T5784077,WMH003LGHTINDIGO,18 R,CREW CLOTHING SKINNY,4F02,WOMENS CLOTHING,5054409654840,2023-07-31,2023-07-26,GB,65.00,0,0.00,-1,-26.00,MD,Online,Concession,20.00,-4.33,-21.67,37.00,-8.02,Crew Clothing Company,6R4A291J
ONL,A95230,959094995,84650316,WSJ033_LARGEFLR,14,CR BLU CREW CLOTHING,4F02,WOMENS CLOTHING,5059595830856,2023-07-31,2023-07-31,GB,89.00,1,40.00,0,0.00,MD,Online,Concession,20.00,6.67,33.33,37.00,12.33,Crew Clothing Company,6R5S2CL2
ONL,A95230,276703129,D2827113,WRD047_LGHTGREY,8,CR GRY CREW CLOTHING,4F02,WOMENS CLOTHING,5059595644002,2023-07-31,2023-07-08,GB,89.00,0,0.00,-1,-44.00,MD,Online,Concession,20.00,-7.33,-36.67,37.00,-13.57,Crew Clothing Company,6QZ0QLCY
ONL,A95230,959071255,M8748806,MSE001_PROVBLU,X-Large,CR BLU CREW CLOTHING,4F05,MENS PP+,5059595888529,2023-07-31,2023-07-29,GB,25.00,1,17.46,0,0.00,FP,Online,Concession,20.00,2.91,14.55,37.00,5.38,Crew Clothing Company,6R5C62P4
ONL,A95230,276527586,T2101104,MPA003BLACK,Medium,CR BLA CREW CLOTHING,4F01,MENS CLOTHING,5059595207870,2023-07-31,2023-07-28,GB,79.00,0,0.00,-1,-79.00,FP,Online,Concession,20.00,-13.17,-65.83,37.00,-24.36,Crew Clothing Company,6R51W411
ONL,A95230,958548403,87580617,WSE049_NAVY,16,CR BLU CREW CLOTHING,4F02,WOMENS CLOTHING,5059595852148,2023-07-31,2023-07-28,GB,29.00,1,29.00,0,0.00,FP,Online,Concession,20.00,4.83,24.17,37.00,8.94,Crew Clothing Company,6R513JH0
ONL,A95230,959303015,T7096103,MKE002,Medium,CR WHI CREW CLOTHING,4F01,MENS CLOTHING,5054409930487,2023-07-31,2023-07-31,GB,37.00,1,37.00,0,0.00,FP,Online,Concession,20.00,6.17,30.83,37.00,11.41,Crew Clothing Company,6R5SRSZW
ONL,A95230,959506011,N4191607,MSB055_NAVY,XX-Large,CR BLU CREW CLOTHING,4F01,MENS CLOTHING,5059595851592,2023-07-31,2023-07-30,GB,55.00,1,55.00,0,0.00,FP,Online,Concession,20.00,9.17,45.83,37.00,16.96,Crew Clothing Company,6R5FX2VB
ONL,A95230,276651096,C0727724,WRH010_LGHTWSH,14 R,CR BLU CREW CLOTHING,4F06,WOMENS PP+,5059595634201,2023-07-31,2023-07-27,GB,65.00,0,0.00,-1,-65.00,FP,Online,Concession,20.00,-10.83,-54.17,37.00,-20.04,Crew Clothing Company,6R4PB84M
