Source,SupplierCode,BIS_Ref_ID,ItemOptionNumber,ProductStyle,OptionDescription,ItemDescription,SubGroup,SubgroupDescription,EAN,PolledDate,TransDate,CountryCode,OriginalSellingPrice,SaleUnits,SaleValue,ReturnUnits,ReturnValue,FullPriceInd,SalesSourceDescription,ModelType,VATRate,VAT,VATExclusive,CommissionRate,Commission,BrandName,OrderReferenceNumber
ONL,A95230,291692609,51080805,MSI007_NAVY,Large,CR BLU CREW CLOTHING,4F01,MENS CLOTHING,5059595842972,2023-10-11,2023-10-04,GB,45.00,0,0.00,-1,-22.00,MD,Online,Concession,20.00,-3.67,-18.33,37.00,-6.78,Crew Clothing Company,6RS34DAK
ONL,A95230,291767243,M4774415,WOE300WHITE,12,CR WHI PERFECT CREW,4F02,WOMENS CLOTHING,5059595111856,2023-10-11,2023-09-28,GB,22.00,0,0.00,-1,-22.00,FP,Online,Concession,20.00,-3.67,-18.33,37.00,-6.78,Crew Clothing Company,6RQKWPZ1
ONL,A95230,1004868933,U1335671,BEC101_SACHETPNK,10-11 Yrs,CR PNK CREW CLOTHING,4F04,GIRLS CLOTHING,5059595423812,2023-10-11,2023-10-10,UA,26.00,1,22.36,0,0.00,FP,Online,Concession,0.00,0.00,22.36,37.00,8.27,Crew Clothing Company,6RTXPQ3Q
ONL,A95230,291796466,46541806,MTC101_CORDOVAN,X-Large,CR RED CREW CLOTHING,4F01,MENS CLOTHING,5063013013554,2023-10-11,2023-10-05,GB,55.00,0,0.00,-1,-55.00,FP,Online,Concession,20.00,-9.17,-45.83,37.00,-16.96,Crew Clothing Company,6RSG196B
ONL,A95230,1004266548,88499314,WTD097_WHTLINEN,10,CR WHI CREW CLOTHING,4F02,WOMENS CLOTHING,5063013106577,2023-10-11,2023-10-10,GB,59.00,1,59.00,0,0.00,FP,Online,Concession,20.00,9.83,49.17,37.00,18.19,Crew Clothing Company,6RTYQ9HV
ONL,A95230,1004945849,14468503,MSE001_DAYBREAK,Small,CR PUR CREW CLOTHING,4F01,MENS CLOTHING,5059595772750,2023-10-11,2023-10-11,GB,25.00,1,12.50,0,0.00,MD,Online,Concession,20.00,2.08,10.42,37.00,3.86,Crew Clothing Company,6RV8YJ3V
ONL,A95230,1004819308,52673022,MSF011_NEUTRAL,32 R,CR NAT CREW CLOTHING,4F01,MENS CLOTHING,5059595947042,2023-10-11,2023-10-06,GB,60.00,1,27.00,0,0.00,MD,Online,Concession,20.00,4.50,22.50,37.00,8.33,Crew Clothing Company,6RSSPS3Q
ONL,A95230,1004652797,M8748615,WSC047_VINFLRL,12,CR PNK CREW CLOTHING,4F06,WOMENS PP+,5059595841807,2023-10-11,2023-10-11,GB,39.00,1,17.50,0,0.00,MD,Online,Concession,20.00,2.92,14.58,37.00,5.39,Crew Clothing Company,6RV9KY0V
ONL,A95230,291782723,U0982915,WOH007DARKIND,12,CREW CLOTHING GIRLFR,4F02,WOMENS CLOTHING,5059595134350,2023-10-11,2023-09-19,GB,65.00,0,0.00,-1,-32.00,MD,Online,Concession,20.00,-5.33,-26.67,37.00,-9.87,Crew Clothing Company,6RMM6ZG2
ONL,A95230,1004944244,U0466117,WPA021DKNAVY,16,CR BLU CREW CLOTHING,4F02,WOMENS CLOTHING,5059595318828,2023-10-11,2023-10-10,GB,120.00,1,120.00,0,0.00,FP,Online,Concession,20.00,20.00,100.00,37.00,37.00,Crew Clothing Company,6RTYS9BP
ONL,A25671,291676488,13325007,MMB032SKY,XX-Large,CREW CLOTHING BLUE C,4F01,MENS CLOTHING,5054409490509,2023-10-11,2023-10-07,GB,59.00,0,0.00,-1,-59.00,FP,Online,Non-stocked,20.00,-9.83,-49.17,37.00,-18.19,Crew Clothing Company,6RT5ZALJ
ONL,A95230,1005218861,N4191403,MSB061_GREENS,Small,CR GRN CREW CLOTHING,4F01,MENS CLOTHING,5059595903376,2023-10-11,2023-10-11,GB,69.00,1,34.00,0,0.00,MD,Online,Concession,20.00,5.67,28.33,37.00,10.48,Crew Clothing Company,6RV9BL1Y
ONL,A95230,1004713651,18637914,WSJO91_PUNCH,10,CR PNK CREW CLOTHING,4F02,WOMENS CLOTHING,5059595795681,2023-10-11,2023-10-10,GB,69.00,1,34.00,0,0.00,MD,Online,Concession,20.00,5.67,28.33,37.00,10.48,Crew Clothing Company,6RTYJMDC
ONL,A25671,1004658343,46583918,WTJ071_PINKPRINT,18,CR PNK CREW CLOTHING,4F02,WOMENS CLOTHING,5063013086794,2023-10-11,2023-10-09,GB,59.00,1,59.00,0,0.00,FP,Online,Non-stocked,20.00,9.83,49.17,37.00,18.19,Crew Clothing Company,6RTKNNXY
ONL,A95230,1004747272,D6843506,MSB036_GREENPINK,X-Large,CR GRN CREW CLOTHING,4F01,MENS CLOTHING,5059595824664,2023-10-11,2023-10-10,GB,69.00,1,34.00,0,0.00,MD,Online,Concession,20.00,5.67,28.33,37.00,10.48,Crew Clothing Company,6RTYCYSM
ONL,A95230,1004938041,99553715,WSE023_PINK,12,CR PNK CREW CLOTHING,4F02,WOMENS CLOTHING,5059595858485,2023-10-11,2023-10-10,GB,16.00,1,8.00,0,0.00,MD,Online,Concession,20.00,1.33,6.67,37.00,2.47,Crew Clothing Company,6RTYKTYS
ONL,A95230,291637206,D3781126,WTG001_NAVY,18 R,CR BLU CREW CLOTHING,4F02,WOMENS CLOTHING,5063013064730,2023-10-11,2023-10-07,GB,59.00,0,0.00,-1,-59.00,FP,Online,Concession,20.00,-9.83,-49.17,37.00,-18.19,Crew Clothing Company,6RT5V31H
ONL,A95230,1004709363,17603705,MSE020_BRKGREENST,X-Large,CR GRN CREW CLOTHING,4F01,MENS CLOTHING,5059595774907,2023-10-11,2023-10-10,GB,42.00,1,21.00,0,0.00,MD,Online,Concession,20.00,3.50,17.50,37.00,6.48,Crew Clothing Company,6RTYNS9L
ONL,A95230,291671924,U6068316,WSJ033_BLUPINK,14,CR PNK CREW CLOTHING,4F02,WOMENS CLOTHING,5059595930341,2023-10-11,2023-09-24,GB,89.00,0,0.00,-1,-40.00,MD,Online,Concession,20.00,-6.67,-33.33,37.00,-12.33,Crew Clothing Company,6RPCQPCH
ONL,A95230,1005002315,U3467016,WOE052_NAVYWHITE,14,CR BLU CREW CLOTHING,4F02,WOMENS CLOTHING,5059595124979,2023-10-11,2023-10-11,LV,22.00,1,24.56,0,0.00,FP,Online,Concession,21.00,4.26,20.30,37.00,7.51,Crew Clothing Company,6RV932WW
ONL,A95230,291683460,69812016,WSM008_REDGEO,14,CR RED CREW CLOTHING,4F02,WOMENS CLOTHING,5059595898610,2023-10-11,2023-10-07,GB,29.00,0,0.00,-1,-14.50,MD,Online,Concession,20.00,-2.42,-12.08,37.00,-4.47,Crew Clothing Company,6RT629J1
ONL,A95230,1004123275,35141014,MLG007DKNAVY,32 S,CR BLU CREW CLOTHING,4F01,MENS CLOTHING,5054409160334,2023-10-11,2023-10-09,GB,65.00,1,32.00,0,0.00,MD,Online,Concession,20.00,5.33,26.67,37.00,9.87,Crew Clothing Company,6RTKVN32
ONL,A95230,291661903,42421304,MSE002_MARITBLUE,Medium,CR BLU CREW CLOTHING,4F01,MENS CLOTHING,5059595890393,2023-10-11,2023-09-19,GB,40.00,0,0.00,-1,-20.00,MD,Online,Concession,20.00,-3.33,-16.67,37.00,-6.17,Crew Clothing Company,6RMM2RXT
ONL,A95230,1004654111,75226904,MMB032WHITE,Large,CREW CLOTHING WHITE,4F01,MENS CLOTHING,5054409490387,2023-10-11,2023-10-10,GB,59.00,1,59.00,0,0.00,FP,Online,Concession,20.00,9.83,49.17,37.00,18.19,Crew Clothing Company,6RTYMDA3
ONL,A25671,1004084387,60054205,MTC126_CHARCOAL,Large,CR GRY CREW CLOTHING,4F01,MENS CLOTHING,5063013012502,2023-10-11,2023-10-09,GB,70.00,1,70.00,0,0.00,FP,Online,Non-stocked,20.00,11.67,58.33,37.00,21.58,Crew Clothing Company,6RTKR8C7
ONL,A95230,291689620,A7484416,WPJ301LGTINDIGO,14,CR BLU CREW CLOTHING,4F02,WOMENS CLOTHING,5059595335511,2023-10-11,2023-09-29,IE,65.00,0,0.00,-1,-34.21,MD,Online,Concession,23.00,-6.40,-27.81,37.00,-10.29,Crew Clothing Company,6RQLLML5
