Column Name,Completeness (Absolute),Completeness (%),Top 5 Frequent Values
RTYPE,82254,100.0,['H']
oh_OrderMajorStatus,82254,100.0,"['Despatch Confirmed', 'Ready For Despatch', 'Partialy Despatched', 'Partialy Held', 'Picking at Store']"
ol_LineMajorStatus,82254,100.0,"['Despatch Confirmed', 'Torque Processing', 'Ready For Despatch', 'Cancelled', 'Ship from Store Processing']"
olProductID,82254,100.0,"['FRL-999', 'INTRO', 'SYSTEM_SHIPPING', '1223300', '1278237']"
ol_SourceCode,82254,100.0,"['WEB', 'CLIC', 'AW', 'JLP', 'VERY']"
ol_CampaignCode,82254,100.0,"['WEBT', 'JLP', 'WEBC', 'UKMO', 'GLBE']"
ol_CreatedDate,82254,100.0,"['2023-11-22 09:41:49.000', '2023-11-23 13:37:39.000', '2023-10-31 13:05:45.000', '2023-11-08 09:34:44.000', '2023-11-22 13:29:49.000']"
ol_ClientCode,82254,100.0,['CRW']
oh_PII,82254,100.0,['****']
oh_CreatedDate,82254,100.0,"['2023-11-22 00:00:00.000', '2023-11-21 00:00:00.000', '2023-11-23 00:00:00.000', '2023-11-22 17:33:54.000', '2023-11-20 00:00:00.000']"
oh_OrderMinorStatus,82254,100.0,"['None', 'Stock Control', 'Duplicate Order']"
ol_PII,82254,100.0,['****']
oh_CampaignCode,82254,100.0,"['WEBT', 'JLP', 'WEBC', 'UKMO', 'GLBE']"
oh_ClientCode,82254,100.0,['CRW']
SYS_CHANGE_OPERATION,82254,100.0,"['U', 'I']"
oh_SourceCode,82254,100.0,"['WEB', 'CLIC', 'AW', 'JLP', 'VERY']"
oh_ShippingCode,82250,99.99513701461326,"['RMT', 'CCHERMSTD', 'CLCC', 'CCJLP', 'CCDPDND']"
oh_ExternalOrderID,81916,99.5890777348214,"['13715808', '13660449', '13719960', '13707110', '13710909']"
ol_ExternalOrderID,81916,99.5890777348214,"['13715808', '13660449', '13719960', '13707110', '13710909']"
ol_CurrencyCode,78521,95.46161888783524,['GBP']
oh_CurrencyCode,78521,95.46161888783524,['GBP']
