Column Name,Completeness (Absolute),Completeness (%),Top 5 Frequent Values
Description,229227,100.0,"['CLASSIC PIQUE POLO', 'ROUND NECK TEE', 'MELBURY POLO SOLID', 'CREW CLASSIC TEE', 'OXFORD SLIM FIT']"
Range,229227,100.0,['Range test']
Eco Friendly,229227,100.0,['Eco Friendly Test']
Colour Group,229227,100.0,['Colour Group Test']
Web Exclusive,229227,100.0,['Web Exclusive Test']
Style ID,229227,100.0,"['500_6945', '500_12536', '600_10040', '500_13890', '500_18439']"
Supplier ID,229227,100.0,"['HART BROTHERS INTERNATIONAL LTD', 'ORANGE SOURCING', 'High Hope Aglory Limited', 'RISING GROUP', 'NOVATEKS']"
Style Code,229227,100.0,"['TMJL001', 'MQG005', 'WBD002', 'TMKE001', 'MSE002']"
SKU,229227,100.0,"[492522, 492546, 492478, 492485, 492492]"
Crew Type,229227,100.0,"['5200: LS Shirt', '6402: Jersey Top', '5501: Polo', '6201: Jumper', '5502: T-Shirt']"
Product Group,229227,100.0,"['500: Menswear', '600: Womenswear', '300: Girls', '400: Boys', '800: Sponsorship']"
EAN,229227,100.0,"[5052123108120, 5052123079864, 5052123079857, 5052123079895, 5052123079888]"
Last Updated,229227,100.0,"['11/09/2023 15:20:44', '11/09/2023 14:28:26', '11/09/2023 15:18:09', '11/09/2023 15:22:58', '11/09/2023 15:42:39']"
Design Colour,229223,99.99825500486418,"['NAVY', 'WHITE', 'PINK', 'BLUE', 'BLACK']"
Size,229223,99.99825500486418,"['M', 'S', 'L', 'XL', 'XXL']"
Vat Code,228861,99.84033294507192,"['H', 'Z', 'E']"
Season,226253,98.70259611651333,"['Outlet manufactured styles', 'DO NOT USE PRODUCTS', 'AUTUMN WINTER 2023', 'SPRING SUMMER 2023', 'SPRING SUMMER 2022']"
Phase,202679,88.41846728352245,"['CARRYOVER', 'CONTINUITY', 'AUTUMN 1', 'SPRING 1', 'March']"
Country of Origin,152054,66.33337259572389,"['BGD', 'CHN', 'IND', 'TUR', 'HKG']"
Commodity Code,143350,62.53626318016639,"['6109100010', 6109100010.0, '6110209100', '6110209900', 6110209100.0]"
