Description,Product Code,Gender,Product Area,Product Type,Style,Short Web Description,Neckline/Collar,End Use,Fit,Heel Height,Fabric Type,Length,Pattern,Sleeve Length,Water Resistance,Main/Upper Comp,Lining Comp,Sole Comp,Washcare Label,Washing Instructions,Drying Instructions,Ironing Instructions,Range,Packing Format,Long Web Description,Height (cm),Width (cm),Depth (cm),Length (cm),Model Wears,Exclusive,Colour,Product Group,Crew Type,Design Colour,Size,SKU,Vat Code,Style Code,EAN,Supplier ID,Country of Origin,Commodity Code,Season,Phase,Style ID,Option ID,SKU ID,Price Level,Product Template,Age of Intake,Product Segment,Web Exclusive,Cost Price,Live Date,Volume (ml),Outfit 1,Outfit 2,Outfit 3,Outfit 4,Wiring,Padding,Dangerous Goods,Colour Group,Weight (kg),Discontinued,Eco Friendly,Web Length (cm),Model Height,Waistband Position,Toe Style,Heel Type,Fastening,Non-Returnable,High Value,Markdown,John Lewis Product Code,Product Created,Last Updated
TUMMEL JACKET,,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,600: Womenswear,6302: Jacket,NAVY,6,1001549,H,WAA003,5052123489335,BEXX CLOTHING LTD,CHN,,SPRING SUMMER 2014,SPRING 1,600_9732,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,True,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:06:57
TUMMEL JACKET,,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,600: Womenswear,6302: Jacket,NAVY,8,1001556,H,WAA003,5052123489342,BEXX CLOTHING LTD,CHN,,SPRING SUMMER 2014,SPRING 1,600_9732,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,True,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:06:57
TUMMEL JACKET,,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,600: Womenswear,6302: Jacket,NAVY,10,1001563,H,WAA003,5052123489281,BEXX CLOTHING LTD,CHN,,SPRING SUMMER 2014,SPRING 1,600_9732,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,True,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:06:57
TUMMEL JACKET,,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,600: Womenswear,6302: Jacket,NAVY,12,1001570,H,WAA003,5052123489298,BEXX CLOTHING LTD,CHN,,SPRING SUMMER 2014,SPRING 1,600_9732,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,True,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:06:56
TUMMEL JACKET,,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,600: Womenswear,6302: Jacket,NAVY,14,1001587,H,WAA003,5052123489304,BEXX CLOTHING LTD,CHN,,SPRING SUMMER 2014,SPRING 1,600_9732,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,True,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:06:56
TUMMEL JACKET,,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,600: Womenswear,6302: Jacket,NAVY,16,1001594,H,WAA003,5052123489311,BEXX CLOTHING LTD,CHN,,SPRING SUMMER 2014,SPRING 1,600_9732,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,True,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:06:57
TUMMEL JACKET,,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,600: Womenswear,6302: Jacket,NAVY,18,1001600,H,WAA003,5052123489328,BEXX CLOTHING LTD,CHN,,SPRING SUMMER 2014,SPRING 1,600_9732,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,True,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:06:57
CREW QUARTER ZIP,,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,500: Menswear,5304: Zip Through,BLUE2,M,1003413,H,OM05-0813,5052123490751,SOUTH OCEAN,,,Outlet manufactured styles,,500_4909,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:09:07
CREW QUARTER ZIP,,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,500: Menswear,5304: Zip Through,BLUE2,L,1003420,H,OM05-0813,5052123490676,SOUTH OCEAN,,,Outlet manufactured styles,,500_4909,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:09:07
CREW QUARTER ZIP,,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,500: Menswear,5304: Zip Through,BLUE2,XL,1003437,H,OM05-0813,5052123490911,SOUTH OCEAN,,,Outlet manufactured styles,,500_4909,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:09:07
